id,title,year,rating
1,Um Sonho de Liberdade,1994,9.3
2,O Poderoso Chefão,1972,9.2
3,Batman: O Cavaleiro das Trevas,2008,9.0
4,O Poderoso Chefão: Parte II,1974,9.0
5,12 Homens e uma Sentença,1957,9.0
6,O Senhor dos Anéis: O Retorno do Rei,2003,9.0
7,A Lista de Schindler,1993,9.0
8,Pulp Fiction: Tempo de Violência,1994,8.9
9,O Senhor dos Anéis: A Sociedade do Anel,2001,8.9
10,Três Homens em Conflito,1966,8.8
11,Forrest Gump: O Contador de Histórias,1994,8.8
12,O Senhor dos Anéis: As Duas Torres,2002,8.8
13,Clube da Luta,1999,8.8
14,A Origem,2010,8.8
15,Star Wars: Episódio V - O Império Contra-Ataca,1980,8.7
16,Matrix,1999,8.7
17,Os Bons Companheiros,1990,8.7
18,Um Estranho no Ninho,1975,8.7
19,Interestelar,2014,8.7
20,Seven - Os Sete Crimes Capitais,1995,8.6
21,A Felicidade Não se Compra,1946,8.6
22,O Silêncio dos Inocentes,1991,8.6
23,Os Sete Samurais,1954,8.6
24,O Resgate do Soldado Ryan,1998,8.6
25,Cidade de Deus,2002,8.6
26,À Espera de um Milagre,1999,8.6
27,A Vida é Bela,1997,8.6
28,O Exterminador do Futuro 2: O Julgamento Final,1991,8.6
29,Star Wars: Episódio IV - Uma Nova Esperança,1977,8.6
30,De Volta para o Futuro,1985,8.5
31,A Viagem de Chihiro,2001,8.6
32,O Pianista,2002,8.5
33,Gladiador,2000,8.5
34,Parasita,2019,8.5
35,Psicose,1960,8.5
36,O Rei Leão,1994,8.5
37,Túmulo dos Vagalumes,1988,8.5
38,Os Infiltrados,2006,8.5
39,Whiplash: Em Busca da Perfeição,2014,8.5
40,Harakiri,1962,8.6
41,A Outra História Americana,1998,8.5
42,O Grande Truque,2006,8.5
43,O Profissional,1994,8.5
44,Homem-Aranha: Através do Aranhaverso,2023,8.5
45,Casablanca,1942,8.5
46,Os Suspeitos,1995,8.5
47,Intocáveis,2011,8.5
48,Cinema Paradiso,1988,8.5
49,Tempos Modernos,1936,8.5
50,Alien - O 8º Passageiro,1979,8.5
51,Janela Indiscreta,1954,8.5
52,Era uma Vez no Oeste,1968,8.5
53,Django Livre,2012,8.5
54,Luzes da Cidade,1931,8.5
55,Apocalypse Now,1979,8.4
